ec-freq-1,ec-freq-2,plain,ec,ec-ec
1,1,99.0,99.1,98.6
1,5,99.0,99.1,99.8
1,10,99.2,99.1,99.7
1,20,98.8,98.2,99.5
1,50,99.0,98.6,99.7
1,100,99.1,98.4,99.5
1,300,98.4,98.5,99.5
1,500,98.7,98.6,99.6
1,0,99.3,99.0,99.4
5,1,98.4,99.7,99.8
5,5,98.9,99.4,100.0
5,10,99.6,100.0,99.4
5,20,98.9,99.9,99.8
5,50,98.8,99.5,100.0
5,100,98.4,99.6,99.7
5,300,98.8,100.0,99.8
5,500,98.6,99.5,99.8
5,0,98.9,99.7,99.7
10,1,99.3,99.8,99.4
10,5,98.4,99.9,99.9
10,10,99.0,99.8,99.8
10,20,98.4,99.7,100.0
10,50,99.4,99.5,99.9
10,100,98.4,99.5,100.0
10,300,98.6,99.9,99.9
10,500,98.6,99.6,99.9
10,0,98.9,99.6,99.7
20,1,98.3,99.9,99.8
20,5,98.8,99.7,99.8
20,10,98.9,99.9,100.0
20,20,98.7,100.0,100.0
20,50,98.7,100.0,100.0
20,100,98.6,99.7,100.0
20,300,98.5,99.9,99.9
20,500,98.4,99.7,99.7
20,0,99.4,99.8,99.7
50,1,98.8,99.8,99.7
50,5,98.7,100.0,99.7
50,10,99.0,99.8,99.8
50,20,98.7,99.7,99.9
50,50,98.8,99.9,100.0
50,100,99.0,99.8,99.9
50,300,98.6,100.0,99.9
50,500,98.5,99.9,99.9
50,0,98.6,99.8,99.8
100,1,98.1,100.0,99.8
100,5,98.9,99.9,100.0
100,10,99.1,99.9,99.7
100,20,98.1,100.0,99.9
100,50,98.4,100.0,99.7
100,100,98.7,99.9,99.9
100,300,98.9,99.9,100.0
100,500,98.7,99.9,99.7
100,0,98.4,100.0,99.8
300,1,98.8,99.9,99.8
300,5,98.5,100.0,99.7
300,10,98.4,100.0,99.6
300,20,98.7,99.8,100.0
300,50,98.0,99.9,99.8
300,100,99.0,99.8,99.9
300,300,98.8,100.0,99.5
300,500,98.5,100.0,99.9
300,0,98.8,99.9,99.8
500,1,98.1,99.9,99.8
500,5,98.8,99.8,99.9
500,10,98.9,99.8,100.0
500,20,98.8,99.9,99.9
500,50,98.1,99.8,100.0
500,100,98.6,99.8,99.9
500,300,99.2,100.0,99.5
500,500,98.6,99.9,99.6
500,0,98.2,99.8,100.0
0,1,99.0,100.0,99.5
0,5,98.3,99.8,99.9
0,10,98.7,99.6,99.9
0,20,98.7,99.8,100.0
0,50,99.0,100.0,100.0
0,100,98.3,100.0,99.9
0,300,98.5,99.8,100.0
0,500,98.9,100.0,99.6
0,0,98.9,99.8,99.7
